Subject	Source	Question	Answer		
Nastya 08	6	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 08	4	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 08	5	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 08	3	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 08	11	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 08	10	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 08	8	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 08	7	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 08	9	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 08	16	Выберите правильный вариант ответа	1) 65  20  15  10
Nastya 08	13	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 08	12	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 08	15	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 08	14	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 04	4	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 04	5	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 04	2	Выберите правильный ответ	1) 65  20  10  5
Polina 04	3	Выберите правильный вариант ответа	3) 75  10  10  5
Polina 04	6	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 04	9	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 04	11	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 04	10	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 04	7	Выберите правильный вариант ответа	1) 65  20  10  5
Polina 04	8	Выберите правильный вариант ответа	3) 75  10  10  58
Polina 04	13	Выберите правильный вариант ответа	3) 75  10  10  5
Polina 04	16	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 04	15	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 04	14	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 04	12	Выберите правильный вариант ответа	1) 65  20  10  5
Vika	4	Выберите правильный вариант ответа	1) 65  20  15  10	
Vika	2	Выберите правильный ответ	3) 75  10  5  5	
Vika	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Vika	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Vika	5	Выберите правильный вариант ответа	3) 75  15  5  5	
Vika	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Vika	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Vika	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Vika	10	Выберите правильный вариант ответа	1) 85  6  5  4	
Vika	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Vika	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Vika	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Vika	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Vika	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Vika	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Vika	19	Выберите правильный вариант ответа	3) 75  10  5  5	
Vika	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Vika	20	Выберите правильный вариант ответа	2) 80  10  5  5	
Vika	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Vika	21	Выберите правильный вариант ответа	3) 60  20  15  5	
versh	2	Выберите правильный ответ	1) 65  20  10  5	
versh	3	Выберите правильный вариант ответа	3) 75  10  10  5	
versh	6	Выберите правильный вариант ответа	3) 60  20  15  5	
versh	5	Выберите правильный вариант ответа	2) 80  10  5  5	
versh	4	Выберите правильный вариант ответа	2) 70  15  10  5	
versh	8	Выберите правильный вариант ответа	3) 75  10  10  5	
versh	7	Выберите правильный вариант ответа	1) 65  20  10  5	
versh	10	Выберите правильный вариант ответа	2) 80  10  5  5	
versh	11	Выберите правильный вариант ответа	3) 60  20  15  5	
versh	9	Выберите правильный вариант ответа	2) 70  15  10  5	
versh	12	Выберите правильный вариант ответа	1) 65  20  10  5	
versh	13	Выберите правильный вариант ответа	3) 75  10  10  5	
versh	14	Выберите правильный вариант ответа	2) 70  15  10  5	
versh	15	Выберите правильный вариант ответа	2) 80  10  5  5	
versh	16	Выберите правильный вариант ответа	3) 60  20  15  5	
versh	19	Выберите правильный вариант ответа	2) 70  15  10  5	
versh	21	Выберите правильный вариант ответа	3) 60  20  15  5	
versh	17	Выберите правильный вариант ответа	2) 70  15  10  5	
versh	20	Выберите правильный вариант ответа	2) 80  10  5  5	
versh	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Dima	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Dima	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Dima	5	Выберите правильный вариант ответа	2) 80  10  5  5	
Dima	2	Выберите правильный ответ	1) 65  20  10  5	
Dima	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Dima	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Dima	10	Выберите правильный вариант ответа	2) 80  10  5  5	
Dima	7	Выберите правильный вариант ответа	2) 70  15  10  5	
Dima	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Dima	8	Выберите правильный вариант ответа	2) 70  15  10  5	
Dima	13	Выберите правильный вариант ответа	3) 75  10  10  5	
Dima	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Dima	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Dima	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Dima	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Dima	19	Выберите правильный вариант ответа	1) 65  20  15  10	
Dima	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Dima	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Dima	20	Выберите правильный вариант ответа	3) 75  15  5  5	
Dima	21	Выберите правильный вариант ответа	3) 60  20  15  5	
Boris	2	Выберите правильный ответ	1) 65  20  10  5	
Boris	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Boris	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Boris	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Boris	5	Выберите правильный вариант ответа	3) 75  15  5  5	
Boris	10	Выберите правильный вариант ответа	2) 80  10  5  5	
Boris	11	Выберите правильный вариант ответа	3) 60  20  15  5	
Boris	8	Выберите правильный вариант ответа	3) 75  10  10  5	
Boris	9	Выберите правильный вариант ответа	2) 70  15  10  5	
Boris	7	Выберите правильный вариант ответа	1) 65  20  10  5	
Boris	12	Выберите правильный вариант ответа	1) 65  20  10  5	
Boris	14	Выберите правильный вариант ответа	2) 70  15  10  5	
Boris	15	Выберите правильный вариант ответа	2) 80  10  5  5	
Boris	16	Выберите правильный вариант ответа	3) 60  20  15  5	
Boris	13	Выберите правильный вариант ответа	1) 65  20  15  10	
Boris	21	Выберите правильный вариант ответа	1) 65  20  15  10	
Boris	18	Выберите правильный вариант ответа	3) 75  10  10  5	
Boris	19	Выберите правильный вариант ответа	2) 70  15  10  5	
Boris	17	Выберите правильный вариант ответа	1) 65  20  10  5	
Boris	20	Выберите правильный вариант ответа	3) 75  15  5  5	
Sofia	3	Выберите правильный вариант ответа	3) 75  10  10  5	
Sofia	6	Выберите правильный вариант ответа	3) 60  20  15  5	
Sofia	2	Выберите правильный ответ	1) 65  20  10  5	
Sofia	5	Выберите правильный вариант ответа	2) 80  10  5  5	
Sofia	4	Выберите правильный вариант ответа	2) 70  15  10  5	
Sofia	11	Выберите правильный вариант ответа	3) 60  20  15  5	
